Tarih,Saat,CPU,RAM,ALARM
2025-12-07,14:49:43,6.1,47.8,0,0
2025-12-07,14:49:44,8.7,47.8,0,0
2025-12-07,14:49:45,7.8,47.7,0,0
2025-12-07,14:49:46,6.8,47.8,0,0
2025-12-07,14:49:47,7.1,47.8,0,0
2025-12-07,14:49:48,7.1,47.8,0,0
2025-12-07,14:49:49,7.0,47.8,0,0
2025-12-07,14:49:50,11.2,47.8,1,0
2025-12-07,14:49:51,8.5,47.8,0,0
2025-12-07,14:49:52,9.6,47.8,0,0
2025-12-07,14:49:53,11.9,47.9,1,0
2025-12-07,14:49:54,7.3,47.8,1,0
2025-12-07,14:49:55,8.3,47.8,1,0
2025-12-07,14:49:56,7.3,47.8,1,0
2025-12-07,14:49:58,3.4,47.8,0,0
2025-12-07,14:49:59,3.6,47.8,0,0
2025-12-07,14:50:00,10.0,47.8,1,0
2025-12-07,14:50:01,7.2,47.8,1,0
2025-12-07,14:50:02,9.3,47.8,1,0
2025-12-07,14:50:03,12.6,47.9,1,0
2025-12-07,14:50:04,9.0,47.8,1,0
2025-12-07,14:50:05,10.7,47.8,1,0
2025-12-07,14:50:06,12.5,47.8,1,0
2025-12-07,14:50:07,8.2,47.8,1,0
2025-12-07,14:50:08,11.4,47.8,1,0
2025-12-07,14:50:09,8.9,47.8,1,0
2025-12-07,14:50:10,8.7,47.7,1,0
2025-12-07,14:50:11,8.4,47.7,1,0
2025-12-07,14:50:12,8.7,47.7,1,1
2025-12-07,14:50:13,7.9,47.7,1,1
2025-12-07,14:50:14,8.1,47.7,1,1
2025-12-07,14:50:15,10.2,47.8,1,1
2025-12-07,14:50:16,8.9,47.7,1,1
2025-12-07,14:50:17,7.5,47.7,1,1
2025-12-07,14:50:18,8.2,47.7,1,1
2025-12-07,14:50:19,9.4,47.7,1,1
2025-12-07,14:50:20,8.3,47.7,1,1
2025-12-07,14:50:21,7.7,47.7,1,1
2025-12-07,14:50:22,7.7,47.7,1,1
2025-12-07,14:50:23,8.2,47.7,1,1
2025-12-07,14:50:24,9.2,47.7,1,1
2025-12-07,14:50:25,9.8,47.7,1,1
2025-12-07,14:50:26,8.1,47.7,1,1
2025-12-07,14:50:27,7.5,47.7,1,0
2025-12-07,14:50:28,7.4,47.7,1,0
2025-12-07,14:50:29,7.4,47.7,1,0
2025-12-07,14:50:30,7.5,47.7,1,0
2025-12-07,14:50:31,7.8,47.7,1,0
2025-12-07,14:50:32,11.0,47.7,1,0
2025-12-07,14:50:33,12.3,47.8,1,1
2025-12-07,14:50:34,11.6,47.9,1,1
